id,Township,timestamp,population,longitude,latitude,AC_output_yearly,pcode_ts,hh_t,YR 1,YR 2,YR 3,YR 4,YR 5,YR 6,Total_Score,Total_yearly_demand,Normalized AC output,Normalized Ability to Pay,Normalized demand
0,Ann,01-05-2016 00:55,93,94.24057504,19.86783718,1292.048462,MMR012014,27359,9575650,14035167,18467325,22926842,27359000,28179770,22,120543754,0.669991101,0.153846154,0.434956915
1,Belin,01-05-2016 00:54,72,97.3041866,17.484716,1403.852783,MMR011010,39231,13730850,20125503,26480925,32875578,39231000,40407930,35,172851786,0.888510732,0.320512821,0.632448348
2,Bokpyin,01-05-2016 00:08,246,99.30385274,11.29212144,1460.89563,MMR006010,15742,5509700,8075646,10625850,13191796,15742000,16214260,31,69359252,1,0.269230769,0.241707423
3,Buthitaung,01-05-2016 00:06,105,92.73682234,20.87229189,1275.819946,MMR013017,8397,2938950,4307661,5667975,7036686,8397000,8648910,88,36997182,0.638272744,1,0.119522906
4,Gangaw,01-05-2016 00:07,159,94.219754,22.444953,1255.971924,MMR009023,29912,10469200,15344856,20190600,25066256,29912000,30809360,43,131792272,0.599480125,0.423076923,0.477426224
5,Hlaingbwe,01-05-2016 00:27,791,98.039689,17.179523,1406.963501,MMR003002,53120,18592000,27250560,35856000,44514560,53120000,54713600,29,234046720,0.894590577,0.243589744,0.863492697
6,Ho Main,01-05-2016 00:15,128,98.4045464,19.9322625,1157.162109,MMR014021,5421,1897350,2780973,3659175,4542798,5421000,5583630,52,23884926,0.406358033,0.538461538,0.070016968
7,Homemalin,01-05-2016 00:15,211,94.9693435,25.132525,1118.252075,MMR005034,35743,12510050,18336159,24126525,29952634,35743000,36815290,36,157483658,0.330309038,0.333333333,0.574425259
8,Hopong,01-05-2016 00:15,116,97.1563532,20.9582195,1145.048584,MMR014003,24728,8654800,12685464,16691400,20722064,24728000,25469840,39,108951568,0.382682356,0.371794872,0.391190072
9,Hpapon,01-05-2016 00:41,220,97.481125,18.009775,1398.429321,MMR003003,6502,2275700,3335526,4388850,5448676,6502000,6697060,33,28647812,0.877910668,0.294871795,0.087999468
